timestamp,ssid,bssid,frequency,rssi
1557482143418,00:26:66:2e:58:cc,00:26:66:2e:58:cc,2432,-73
1557482143418,88:36:6c:0f:b7:de,88:36:6c:0f:b7:de,2422,-76
1557482143418,9c:1c:12:d2:ec:62,9c:1c:12:d2:ec:62,2472,-77
1557482143418,9c:1c:12:d2:ec:61,9c:1c:12:d2:ec:61,2472,-77
1557482143418,fa:d0:27:3b:99:39,fa:d0:27:3b:99:39,2437,-79
1557482143418,90:9f:33:8f:d3:ae,90:9f:33:8f:d3:ae,2417,-79
1557482143418,88:36:6c:0f:b7:dc,88:36:6c:0f:b7:dc,5765,-83
1557482143418,d8:c7:c8:de:f7:a2,d8:c7:c8:de:f7:a2,2452,-85
1557482143418,d8:c7:c8:de:f7:a1,d8:c7:c8:de:f7:a1,2452,-86
1557482143418,d8:c7:c8:de:f7:a0,d8:c7:c8:de:f7:a0,2452,-86
1557482143418,02:11:87:08:8e:ff,02:11:87:08:8e:ff,2412,-87
1557482152152,d8:c7:c8:df:2d:e1,d8:c7:c8:df:2d:e1,2412,-46
1557482152152,d8:c7:c8:df:2d:e0,d8:c7:c8:df:2d:e0,2412,-46
1557482152152,d8:c7:c8:df:2d:f1,d8:c7:c8:df:2d:f1,5240,-47
1557482152152,d8:c7:c8:df:2d:f0,d8:c7:c8:df:2d:f0,5240,-47
1557482152152,d8:c7:c8:df:2d:e2,d8:c7:c8:df:2d:e2,2412,-47
1557482152152,d8:c7:c8:df:2d:f2,d8:c7:c8:df:2d:f2,5240,-48
1557482152152,9c:1c:12:d2:ee:52,9c:1c:12:d2:ee:52,5805,-59
1557482152152,9c:1c:12:d2:ee:51,9c:1c:12:d2:ee:51,5805,-60
1557482152152,9c:1c:12:d2:ee:50,9c:1c:12:d2:ee:50,5805,-60
1557482152152,9c:1c:12:d2:ee:42,9c:1c:12:d2:ee:42,2452,-66
1557482152152,9c:1c:12:d2:ee:41,9c:1c:12:d2:ee:41,2452,-68
1557482152152,9c:1c:12:d2:ee:40,9c:1c:12:d2:ee:40,2452,-70
1557482152152,d8:c7:c8:de:f5:20,d8:c7:c8:de:f5:20,2472,-71
1557482152152,d8:c7:c8:de:f5:21,d8:c7:c8:de:f5:21,2472,-71
1557482152152,d8:c7:c8:de:f5:22,d8:c7:c8:de:f5:22,2472,-71
1557482152152,d8:c7:c8:de:f5:31,d8:c7:c8:de:f5:31,5220,-74
1557482152152,d8:c7:c8:de:f5:32,d8:c7:c8:de:f5:32,5220,-74
1557482152152,d8:c7:c8:de:f5:30,d8:c7:c8:de:f5:30,5220,-75
1557482152152,90:9f:33:dc:43:6c,90:9f:33:dc:43:6c,2427,-76
1557482152152,00:26:66:2e:58:cc,00:26:66:2e:58:cc,2432,-77
1557482152152,02:11:87:08:8e:ff,02:11:87:08:8e:ff,2412,-77
1557482152152,02:15:99:ce:27:20,02:15:99:ce:27:20,2412,-79
1557482152152,fa:d0:27:3b:99:39,fa:d0:27:3b:99:39,2437,-88
1557482152152,64:e5:99:be:33:4c,64:e5:99:be:33:4c,2472,-89
1557482162734,d8:c7:c8:df:2d:e0,d8:c7:c8:df:2d:e0,2412,-70
1557482162734,d8:c7:c8:df:2d:e2,d8:c7:c8:df:2d:e2,2412,-71
1557482162734,d8:c7:c8:df:2d:e1,d8:c7:c8:df:2d:e1,2412,-71
1557482162734,90:9f:33:dc:43:6c,90:9f:33:dc:43:6c,2427,-72
1557482162734,d8:c7:c8:df:2d:f2,d8:c7:c8:df:2d:f2,5240,-74
1557482162734,d8:c7:c8:df:2d:f0,d8:c7:c8:df:2d:f0,5240,-74
1557482162734,d8:c7:c8:df:2d:f1,d8:c7:c8:df:2d:f1,5240,-75
1557482162734,02:11:87:08:8e:ff,02:11:87:08:8e:ff,2412,-80
1557482172781,d8:c7:c8:df:2d:e0,d8:c7:c8:df:2d:e0,2412,-77
1557482172781,d8:c7:c8:df:2d:e2,d8:c7:c8:df:2d:e2,2412,-79
1557482172781,d8:c7:c8:df:2d:e1,d8:c7:c8:df:2d:e1,2412,-79
1557482172781,d8:c7:c8:df:2d:f1,d8:c7:c8:df:2d:f1,5240,-80
1557482172781,d8:c7:c8:df:2d:f2,d8:c7:c8:df:2d:f2,5240,-81
1557482172781,d8:c7:c8:df:2d:f0,d8:c7:c8:df:2d:f0,5240,-81
1557482172781,02:11:87:08:8e:ff,02:11:87:08:8e:ff,2412,-87
1557482213405,00:26:66:2e:56:64,00:26:66:2e:56:64,2412,-66
1557482213405,d8:c7:c8:df:2d:f1,d8:c7:c8:df:2d:f1,5240,-82
1557482213405,9c:1c:12:d2:ec:71,9c:1c:12:d2:ec:71,5785,-82
